OBSDATE OBSNUM OBSID INST LOFREQ SOURCE MOLECULE LINE MODE BANDWIDTH SIDEBAND TAU ELEVATION INTEGINT PEAK L_BOUND H_BOUND
2008-02-19T17:59:04 73 acsis_00073_20080219T175904_1 HARP 357.710 G34.3 H2CO 505-404 pssw 1000MHzx2048 USB 0.014 63.9 41.6 5.28 30 100
2008-05-11T17:22:12 74 acsis_00074_20080511T172212_1 HARP 334.958 W75N C18O 3-2 pssw 250MHzx4096 LSB 0.089 58.5 69.5 14.0 -20 50
2008-07-13T11:58:02 39 acsis_00039_20080713T115802_1 HARP 335.603 W75N 13CO 3-2 pssw 250MHzx8192 LSB 0.037 66.5 191.0 25.3 -20 50
2007-09-22T07:28:49 22 acsis_00022_20070922T072849_1 HARP 347.879 W75N CS 7-6 pssw 1000MHzx2048 LSB 0.128 66.1 61.5 8.3 -20 50
2009-05-12T17:21:36 62 acsis_00062_20090512T172136_1 HARP 340.818 W75N CO 3-2 pssw 1000MHzx2048 USB 0.136 58.1 538.0 36.7 -50 70
2008-07-13T11:50:47 38 acsis_00038_20080713T115047_1 HARP 349.522 W75N HCN 4-3 pssw 250MHzx8192 USB 0.033 66.8 102.0 12.8 -30 70
2008-09-19T06:46:38 22 acsis_00022_20080919T064638_1 HARP 351.731 W75N HCO+v=0 4-3 pssw 250MHzx8192 USB 0.074 66.9 229.0 25.5 -50 70
2008-09-07T10:36:31 35 acsis_00035_20080907T103631_1 HARP 357.736 W75N H2CO 505-404 pssw 1000MHzx2048 USB 0.045 48.4 32.0 5.37 -30 50
2008-09-14T07:11:02 24 acsis_00024_20080914T071102_1 HARP 335.638 CRL2688 13CO 3-2 chop 1000MHzx2048 LSB 0.073 71.0 83.5 2.95 -100 20
2008-09-17T10:59:14 38 acsis_00038_20080917T105914_1 HARP 340.846 CRL2688 CO 3-2 chop 250MHzx8192 USB 0.092 43.2 269.0 10.7 -100 20
2008-06-26T13:28:28 41 acsis_00041_20080626T132828_1 HARP 349.584 CRL2688 HCN 4-3 chop 250MHzx8192 USB 0.194 72.3 210.0 7.6 -100 50
2007-06-09T18:35:12 71 acsis_00071_20070609T183512_1 HARP 340.803 NGC7027 CO 3-2 chop 1000MHzx2048 USB 0.077 32.1 282.0 12.0 -20 80
2007-07-19T16:41:18 65 acsis_00065_20070719T164118_1 HARP 335.030 N7538IRS1 C18O 3-2 pssw 250MHzx4096 LSB 0.064 38.9 33.8 7.5 -90 -20
2008-10-17T04:59:46 18 acsis_00018_20081017T045946_1 HARP 341.447 N7538IRS1 CO 3-2 pssw 250MHzx4096 USB 0.104 38.5 337.0 25.9 -90 -20
