FS   Other            RA (J2000)  Dec              I                  Z                 J(98)                H(98)                K(98)                L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N      mag    sem    N     mag    sem   N    mag    sem   N 
111  fs2-05       03 41 08.55 +33 09 35.5    &     &     &      &     &     &    10.620 (0.009) [03]  10.369 (0.015) [04]  10.271 (0.010) [04]  10.23  (0.02)  [03]   &     &     &
&    BS1140       03 44 48.22 +24 17 22.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &     &     &      5.57 (0.02) [03]
112  s618-d       03 47 40.70 -15 13 14.4    &     &     &      &     &     &    11.169 (0.013) [03]  10.927 (0.010) [03]  10.890 (0.014) [03]    &     &     &       &     &     &
10   GD50         03 48 50.20 -00 58 31.2  14.46 (0.02)  &    14.50 (0.02) [02]  14.780 (0.008) [04]  14.830 (0.009) [02]  14.969 (0.009) [03]    &     &     &       &     &     &
113  p117-f       04 00 14.07 +53 10 38.5    &     &     &      &     &     &    12.924 (0.006) [03]  12.564 (0.011) [03]  12.439 (0.007) [03]    &     &     &       &     &     &
114  Hy214        04 19 41.72 +16 45 22.4    &     &     &      &     &     &    14.379 (0.009) [04]  13.860 (0.015) [03]  13.438 (0.003) [03]    &     &     &       &     &     &
115  b216-b5      04 23 18.17 +26 41 16.4    &     &     &      &     &     &    12.500 (0.003) [03]  10.982 (0.009) [03]  10.072 (0.007) [03]    &     &     &       &     &     &
116  b216-b7      04 23 50.18 +26 40 07.7    &     &     &      &     &     &    12.777 (0.006) [03]  11.517 (0.012) [03]  10.922 (0.001) [02]    &     &     &       &     &     &
117  b216-b9      04 23 56.61 +26 36 38.0  13.55 (0.03) [02]  12.78 (0.03) [02]  11.493 (0.004) [04]  10.555 (0.012) [03]  10.032 (0.012) [03]   9.75  (0.03)  [02]   &     &     &
118  b216-b13     04 24 33.49 +26 33 37.8  12.93 (0.03) [01]  12.39 (0.04) [02]  11.458 (0.030) [01]  10.757 (0.030) [01]  10.446 (0.030) [01]    &     &     &       &     &     &
11   SA96-83      04 52 58.92 -00 14 41.6  11.48 (0.02)  &    11.35 (0.02)  &    11.332 (0.015) [03]  11.267 (0.014) [03]  11.241 (0.008) [03]    &     &     &       &     &     &
119  fs2-53       05 02 57.44 -01 46 42.6    &     &     &      &     &     &     9.854 (0.009) [03]   9.813 (0.008) [03]   9.817 (0.005) [03]   9.80  (0.03)  [02]   &     &     &
&    SAO112626    05 19 17.16 +01 42 16.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     8.559 (0.010) [03]   &     &     &
&    BS1869       05 36 15.96 +47 42 55.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &     &     &      5.40 (0.03) [01]
&    S840-F       05 42 32.10 +00 09 04.0    &     &     &      &     &     &    11.374 (0.005) [03]  11.113 (0.011) [03]  11.026 (0.014) [03]    &     &     &       &     &     &
&    HD38921      05 47 22.19 -38 13 51.3    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.513 (0.020) [02]  7.49 (0.03) [02]
12   GD71         05 52 27.66 +15 53 14.3  13.40 (0.02)  &    13.49 (0.02) [02]  13.717 (0.012) [04]  13.810 (0.017) [03]  13.905 (0.019) [04]    &     &     &       &     &     &
13   SA97-249     05 57 07.59 +00 01 11.4  10.87 (0.02)  &    10.75 (0.01)  7    10.495 (0.004) [02]  10.189 (0.010) [03]  10.136 (0.010) [03]  10.10  (0.03)  [02]   &     &     &
&    HD40335      05 58 13.52 +01 51 23.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     6.441 (0.025) [02]  6.41 (0.02) [05]
120  lhs216       06 14 01.44 +15 09 58.3    &     &     &      &     &     &    11.306 (0.021) [03]  10.843 (0.008) [03]  10.598 (0.003) [03]    &     &     &       &     &     &
&    BS2228       06 17 34.65 +46 25 26.2    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &     &     &      5.87 (0.03) [02]
&    S842-E       06 22 43.70 -00 36 30.0    &     &     &      &     &     &    11.665 (0.007) [03]  11.329 (0.008) [03]  11.229 (0.011) [03]    &     &     &       &     &     &   
&    HD44612      06 24 46.60 +43 32 54.5    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.050 (0.014) [03]  7.07 (0.03) [02]
&    SA98-653     06 52 04.95 -00 18 18.3    &     &     &      &     &     &     9.420 (0.006) [04]   9.424 (0.016) [04]   9.437 (0.014) [04]    &     &     &       &     &     & 
