FS   Other            RA (J2000)  Dec              I                  Z                Y(MKO)                J(MKO)               H(MKO)               K(MKO)               L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N     mag     sem    N      mag    sem    N     mag     sem    N     mag   sem   N 
&    HD22686      03 38 55.09 +02 45 48.6    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.199 (0.012) [04]  7.16 (0.02) [04]
110  p533-d       03 41 02.22 +06 56 15.9    &     &     &      &     &     &      &      &      &    11.703 (0.011) [04]  11.406 (0.004) [04]  11.321 (0.007) [04]    &      &      &     &     &     &
111  fs2-05       03 41 08.55 +33 09 35.5    &     &     &      &     &     &      &      &      &    10.618 (0.013) [04]  10.361 (0.004) [03]  10.275 (0.016) [04]  10.23  (0.02)  [03]   &     &     &
&    BS1140       03 44 48.22 +24 17 22.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &    5.57 (0.02) [03]
112  s618-d       03 47 40.70 -15 13 14.4    &     &     &      &     &     &      &      &      &    11.182 (0.010) [03]  10.919 (0.019) [03]  10.855 (0.008) [02]    &      &      &     &     &     &
10   GD50         03 48 50.20 -00 58 31.2  14.46 (0.02)  &    14.50 (0.02) [02]  14.688 (0.014) [18]  14.802 (0.017) [05]  14.878 (0.013) [06]  14.990 (0.015) [04]    &      &      &     &     &     &
113  p117-f       04 00 14.07 +53 10 38.5    &     &     &      &     &     &      &      &      &    12.915 (0.009) [03]  12.559 (0.010) [02]  12.443 (0.010) [03]    &      &      &     &     &     &
114  Hy214        04 19 41.72 +16 45 22.4    &     &     &      &     &     &    15.139 (0.014) [27]  14.373 (0.009) [04]  13.876 (0.010) [03]  13.434 (0.008) [02]    &      &      &     &     &     &
115  b216-b5      04 23 18.17 +26 41 16.4    &     &     &      &     &     &      &      &     &     12.501 (0.006) [03]  10.976 (0.010) [03]  10.073 (0.013) [04]    &      &      &     &     &     &
116  b216-b7      04 23 50.18 +26 40 07.7    &     &     &      &     &     &    14.068 (0.011) [18]  12.775 (0.008) [03]  11.532 (0.004) [04]  10.928 (0.007) [04]    &      &      &     &     &     &
117  b216-b9      04 23 56.61 +26 36 38.0  13.55 (0.03) [02]  12.78 (0.03) [02]    &      &     &     11.495 (0.006) [03]  10.560 (0.008) [04]  10.045 (0.006) [04]   9.75  (0.03)  [02]   &     &     &
11   SA96-83      04 52 58.92 -00 14 41.6  11.48 (0.02)  &    11.35 (0.02)  &    11.378 (0.014) [27]  11.329 (0.005) [03]  11.264 (0.013) [03]  11.241 (0.008) [03]    &      &      &     &     &     &
119  fs2-53       05 02 57.44 -01 46 42.6    &     &     &      &     &     &      &      &      &     9.857 (0.007) [03]   9.818 (0.010) [03]   9.810 (0.010) [03]   9.80  (0.03)  [02]   &     &     &
&    SAO112626    05 19 17.16 +01 42 16.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     8.559 (0.010) [03]   &     &     &
&    BS1869       05 36 15.96 +47 42 55.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &    5.40 (0.03) [01]
&    S840-F       05 42 32.10 +00 09 04.0    &     &     &      &     &     &      &      &      &    11.365 (0.016) [03]  11.099 (0.013) [03]  11.019 (0.009) [03]    &      &      &     &     &     &
&    HD38921      05 47 22.19 -38 13 51.3    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.513 (0.020) [02]  7.49 (0.03) [02]
12   GD71         05 52 27.66 +15 53 14.3  13.40 (0.02)  &    13.49 (0.02) [02]  13.657 (0.013) [40]  13.710 (0.009) [04]  13.805 (0.018) [04]  13.899 (0.011) [03]    &      &      &     &     &     &
13   SA97-249     05 57 07.59 +00 01 11.4  10.87 (0.02)  &    10.75 (0.01) [7]     &      &      &    10.471 (0.009) [04]  10.176 (0.007) [04]  10.126 (0.009) [04]  10.10  (0.03)  [02]   &     &     &
&    HD40335      05 58 13.52 +01 51 23.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     6.441 (0.025) [02]  6.41 (0.02) [05]
120  lhs216       06 14 01.44 +15 09 58.3    &     &     &      &     &     &      &      &      &    11.299 (0.015) [03]  10.855 (0.011) [04]  10.603 (0.011) [04]    &      &      &     &     &     &
&    BS2228       06 17 34.65 +46 25 26.2    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &    5.87 (0.03) [02]
&    S842-E       06 22 43.70 -00 36 30.0    &     &     &      &     &     &      &      &      &    11.660 (0.020) [03]  11.327 (0.013) [03]  11.233 (0.014) [03]    &      &      &     &     &     &   
&    HD44612      06 24 46.60 +43 32 54.5    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.050 (0.014) [03]  7.07 (0.03) [02]
&    SA98-653     06 52 04.95 -00 18 18.3    &     &     &      &     &     &      &      &      &     9.428 (0.014) [05]   9.422 (0.016) [05]   9.443 (0.010) [04]    &      &      &     &     &     & 
121  s772-g       06 59 46.82 -04 54 33.2  12.82 (0.01) [02]  12.53 (0.01) [02]  12.464 (0.012) [11]  11.984 (0.015) [03]  11.436 (0.007) [03]  11.307 (0.014) [03]    &      &      &     &     &     &
122  p161-d       07 00 52.02 +48 29 24.0    &     &     &      &     &     &      &      &      &    11.668 (0.008) [04]  11.393 (0.006) [04]  11.347 (0.005) [04]    &      &      &     &     &     &
14   Rubin149     07 24 14.40 -00 33 04.1  14.00 (0.01)  &    14.00 (0.01) [02]  14.091 (0.007) [9]   14.128 (0.006) [04]  14.164 (0.017) [05]  14.214 (0.016) [04]    &      &      &     &     &     &
&    RU149D       07 24 15.36 -00 32 47.9    &     &     &      &     &     &    11.402 (0.015) [9]   11.444 (0.007) [03]  11.438 (0.010) [03]  11.459 (0.010) [03]    &      &      &     &     &     & 
&    P309-U       07 30 34.50 +29 51 12.0    &     &     &      &     &     &      &      &      &    11.841 (0.012) [05]  11.507 (0.010) [04]  11.449 (0.007) [05]    &      &      &     &     &     &
&    S495-E       08 27 12.5  -25 08 01      &     &     &      &     &     &      &      &      &    11.483 (0.014) [03]  11.031 (0.014) [03]  10.939 (0.009) [02]    &      &      &     &     &     &
